n00007846   person
n02097474   Tibetan terrier
n02098550   sporting dog
n02099267   flat-coated retriever
n02099849   Chesapeake Bay retriever
n02099997   pointer
n02100399   setter
n02100583   vizsla
n02100735   English setter
n02101006   Gordon setter
n02101861   springer spaniel
n02104184   attack dog
n02104365   schipperke
n02104882   Belgian sheepdog
n02105162   malinois
n02105251   briard
n02106382   Bouvier des Flandres
n02106966   pinscher
n02107420   Sennenhunde
n02107574   Greater Swiss Mountain dog
n02109047   Great Dane
n02110806   basenji
n02112137   chow
n02112826   corgi
n02114100   wolf
n02115012   coydog
n02116450   raccoon dog
n02116738   African hunting dog
n02117646   brown hyena
n02118176   aardwolf
n02118643   vixen
n02121808   domestic cat
n02122878   tabby
n02123478   Angora
n02123597   Siamese cat
n02125081   European wildcat
n02125689   jaguarundi
n02134418   sloth bear
n02136103   binturong
n02138647   slender-tailed meerkat
n02146700   little brown bat
n02147173   big brown bat
n02150482   vampire bat
n02152881   prey
n02153109   big game
n02161225   holometabola
n02165105   tiger beetle
n02165877   two-spotted ladybug
n02166229   Mexican bean beetle
n02167505   bombardier beetle
n02168699   long-horned beetle
n02169974   Colorado potato beetle
n02172518   scarab
n02172678   tumblebug
n02175916   stag beetle
n02177972   weevil
n02179012   blister beetle
n02181477   mealworm
n02182930   rice weevil
n02188699   dipterous insect
n02192252   greenbottle
n02198532   louse fly
n02200509   wiggler
n02203592   fungus gnat
n02207345   queen bee
n02207805   worker bee
n02208498   Africanized bee
n02209624   bumblebee
n02213543   common wasp
n02218713   sawfly
n02226821   short-horned grasshopper
n02227604   migratory grasshopper
n02228341   katydid
n02229765   mole cricket
n02230187   field cricket
n02230480   tree cricket
n02231487   walking stick
n02234848   German cockroach
n02238235   lygus bug
n02239774   squash bug
n02240068   leaf-footed bug
n02240517   bedbug
n02241799   water bug
n02243878   common pond-skater
n02253913   woolly alder aphid
n02254697   adelgid
n02255391   woolly adelgid
n02260863   psocid
n02264232   doodlebug
n02264363   lacewing
n02267208   snakefly
n02276902   banded purple
n02277094   red-spotted purple
n02277422   anglewing
n02279257   peacock
n02283201   moth
n02283617   moth miller
n02287004   geometrid
n02292401   webbing clothes moth
n02295390   cutworm
n02295870   underwing
n02300173   bombycid
n02300797   silkworm
n02301452   saturniid
n02301935   emperor
n02303777   ailanthus silkworm
n02307681   forest tent caterpillar
n02310334   corn earworm
n02310585   cabbageworm
n02310941   woolly bear moth
n02312325   leatherjacket
n02312912   imago
n02319555   sand dollar
n02324045   rabbit
n02327842   snowshoe hare
n02336826   white-footed mouse
n02339376   vole
n02340640   rice rat
n02344175   jird
n02350105   kangaroo rat
n02350989   jumping mouse
n02352932   loir
n02353172   hazel mouse
n02356381   eastern grey squirrel
n02357401   American red squirrel
n02357585   chickeree
n02358091   ground squirrel
n02358390   mantled ground squirrel
n02358890   rock squirrel
n02359047   Arctic ground squirrel
n02359324   prairie dog
n02360933   southern flying squirrel
n02363351   New World beaver
n02369935   queen
n02370806   ungulate
n02376918   male horse
n02377388   gelding
n02377480   mare
n02378415   warhorse
n02379081   cow pony
n02380052   Lippizan
n02380335   pony
n02380875   bucking bronco
n02381261   dun
n02381364   grey
n02382635   Shetland pony
n02385002   finisher
n02386224   hackney
n02386496   draft horse
n02386968   Clydesdale
n02387983   pacer
n02389559   domestic ass
n02389943   jack
n02390015   jennet
n02390640   African wild ass
n02395003   swine
n02397096   warthog
n02403231   bullock
n02404432   longhorn
n02406533   Brown Swiss
n02406859   Devon
n02407625   Hereford
n02408817   carabao
n02410509   bison
n02413131   domestic sheep
n02414290   merino
n02415253   Dall sheep
n02415577   bighorn
n02415829   mouflon
n02417663   bezoar goat
n02419056   serow
n02420509   blackbuck
n02422391   sassaby
n02422699   impala
n02423218   Thomson's gazelle
n02424305   kudu
n02425532   nilgai
n02427576   lechwe
n02428089   puku
n02428349   oryx
n02428842   forest goat
n02430748   pricket
n02432983   elk
n02433925   caribou
n02437482   Bactrian camel
n02439398   okapi
n02441326   musteline mammal
n02441942   weasel
n02442336   stoat
n02442668   longtail weasel
n02445171   Eurasian otter
n02447366   badger
n02448060   Eurasian badger
n02448633   ferret badger
n02454794   peba
n02457945   two-toed sloth
n02461830   pangolin
n02481235   eastern lowland gorilla
n02482650   pygmy chimpanzee
n02484975   guenon
n02485688   green monkey
n02486908   mandrill
n02488894   guereza
n02489589   New World monkey
n02490811   pygmy marmoset
n02492948   saki
n02499808   galago
n02504013   Indian elephant
n02504770   mammoth
n02506947   plantigrade mammal
n02509515   coati
n02512830   game fish
n02522722   Atlantic cod
n02523110   whiting
n02523877   haddock
n02525382   cusk
n02526818   common eel
n02527057   tuna
n02527271   moray
n02535537   Atlantic salmon
n02541687   tarpon
n02542017   ladyfish
n02555863   perch
n02560110   snook
n02561108   pike
n02561803   chain pickerel
n02563792   bluegill
n02564403   rock bass
n02566665   yellow bass
n02568087   striped bass
n02570484   soapfish
n02574271   cobia
n02575325   sharksucker
n02578928   yellowtail
n02581957   dolphinfish
n02582721   pomfret
n02590094   pigfish
n02592055   sheepshead
n02593191   black bream
n02595702   red drum
n02597004   yellowfin
n02598573   white croaker
n02599347   weakfish
n02601767   striped mullet
n02614978   gunnel
n02616851   wolffish
n02619550   mudskipper
n02627835   bonito
n02629716   swordfish
n02631041   marlin
n02631475   black marlin
n02636170   tripletail
n02640626   Pacific sturgeon
n02643112   scorpionfish
n02654425   boxfish
n02657694   flounder
n02664285   European sole
n02667093   abaya
n02670186   accelerator
n02677718   action
n02679257   adding machine
n02680512   adit
n02682922   aerosol
n02685365   air bag
n02687172   aircraft carrier
n02687821   airdock
n02689144   airframe
n02689274   air gun
n02699494   altar
n02699770   altarpiece
n02700064   alternator
n02701730   American organ
n02704645   amphibian
n02704949   amphitheater
n02709637   anchor chain
n02709763   anchor light
n02715513   anteroom
n02723165   antiperspirant
n02726210   apadana
n02726305   apartment
n02727016   aperture
n02729837   appliance
n02735268   arch support
n02735688   area
n02736396   areaway
n02736798   argyle
n02737351   ark
n02738031   armament
n02738271   armature
n02740300   armored personnel carrier
n02742194   array
n02742753   arrow
n02746365   artillery
n02747802   ashtray
n02752199   athenaeum
n02754656   atrium
n02759387   autogiro
n02760658   automatic pistol
n02762508   autostrada
n02762909   auxiliary engine
n02764398   ax handle
n02764505   ax head
n02764935   axle bar
n02768655   back brace
n02768973   backgammon board
n02769075   background
n02771547   backstop
n02773037   bag
n02775039   baggage car
n02775483   bagpipe
n02777734   balcony
n02783324   ballroom
n02783994   baluster
n02785648   bandage
n02786331   bandbox
n02786463   banderilla
n02788386   banquette
n02788572   baptismal font
n02790669   barbecue
n02793495   barn
n02793842   barn door
n02795169   barrel
n02795978   barrel organ
n02801450   basilisk
n02801525   basin
n02804123   bass guitar
n02804252   bass horn
n02805283   baster
n02805845   bastinado
n02805983   bastion
n02806379   bat
n02808304   bath towel
n02809364   baton
n02813544   bazaar
n02813752   bazooka
n02814116   BB gun
n02814338   beach house
n02814774   beachwear
n02815749   beaker
n02816656   beanbag
n02817516   bearskin
n02818135   beaver
n02821202   bedpan
n02821415   bedpost
n02822064   bedsitting room
n02823124   beeper
n02824319   belfry
n02826589   bell push
n02826886   bell tower
n02828299   belt buckle
n02836268   bier
n02837887   bikini pants
n02838014   bilge
n02838345   bilge pump
n02839110   billboard
n02839592   billiard room
n02841187   binnacle
n02844214   bistro
n02846511   blackboard
n02848216   blade
n02852360   blister pack
n02853016   block
n02855701   blucher
n02855925   blue
n02859184   boater
n02859343   boat hook
n02860640   bobby pin
n02860847   bobsled
n02861286   bodega
n02861886   body
n02863014   body stocking
n02867966   bomber jacket
n02869155   bone china
n02870526   book
n02872752   boot
n02873623   boot camp
n02879517   bow
n02880393   bow and arrow
n02880940   bowl
n02882894   bowling shoe
n02883205   bow tie
n02885338   boxing equipment
n02885462   boxing glove
n02885882   box office
n02890513   brake lining
n02892767   brassiere
n02893418   brazier
n02893418   brazil nut
n02895008   breast implant
n02897097   Bren
n02897389   brewpub
n02901114   briefs
n02903204   broadcaster
n02904505   broadside
n02908951   Brussels lace
n02909165   bubble chamber
n02912065   buffet
n02912894   bugle
n02913152   building
n02914991   building complex
n02916179   bulldozer
n02916350   bullet
n02917521   bullion
n02918964   bumper car
n02920259   bunk bed
n02925009   bushel basket
n02926591   bustle
n02927053   butcher knife
n02927161   butcher shop
n02930080   buzzer
n02930766   cab
n02931294   cabana
n02932019   cabin
n02933112   cabinet
n02933649   cabinetwork
n02936281   caff
n02937010   cagoule
n02938886   calculator
n02943871   camera tripod
n02944826   camp
n02946127   campanile
n02946270   camp chair
n02946348   camper
n02947660   canal boat
n02948072   candle
n02950256   cannon
n02950943   cannonball
n02951843   canopy
n02953673   canvas
n02955247   capacitor
n02957135   cap screw
n02958343   car
n02961225   car battery
n02962938   cardiac monitor
n02963159   cardigan
n02964843   cargo container
n02965122   cargo helicopter
n02966193   carousel
n02966687   carpenter's kit
n02967294   carpetbag
n02968473   carriage
n02970849   cart
n02971473   cartouche
n02974697   case
n02977330   cashmere
n02977936   casino
n02978055   casket
n02978881   cassette
n02979290   cassette recorder
n02979399   cassette tape
n02980036   caster
n02981321   catalytic converter
n02985137   cathode-ray tube
n02987379   cavalier hat
n02993194   cenotaph
n02994573   center punch
n02995998   centrifuge
n02998563   cesspool
n02998841   chador
n02999410   chain
n03000134   chainlink fence
n03001115   chain store
n03001627   chair
n03002816   chalet
n03005285   chandelier
n03007130   chapel
n03009794   charnel house
n03011741   checkout
n03014705   chest
n03016737   chicken yard
n03018349   china cabinet
n03019806   chin strap
n03019938   chintz
n03020034   chip
n03020692   chisel
n03021228   chlamys
n03024233   choir loft
n03025070   chokey
n03026907   chronograph
n03027108   chronoscope
n03027505   chuck wagon
n03031152   cigarette holder
n03032453   cinquefoil
n03033986   circuit board
n03036022   city hall
n03037404   clapperboard
n03037709   clarinet
n03038281   clasp
n03041114   cleat
n03045800   cloakroom
n03046029   cloche
n03049326   closed loop
n03049924   cloth cap
n03050026   cloth covering
n03054901   clutch
n03055857   coach house
n03056097   coal car
n03061505   cockpit
n03062122   cocktail lounge
n03065424   coil
n03077741   communications satellite
n03078287   communication system
n03078506   community center
n03078802   commuter
n03078995   compact
n03079741   compartment
n03080497   compass
n03085013   computer keyboard
n03085219   computer monitor
n03085333   computer network
n03086457   concert grand
n03086580   concert hall
n03086670   concertina
n03087366   condenser
n03091223   connecting room
n03091374   connection
n03092166   conservatory
n03092476   console
n03096439   contrabassoon
n03096960   control
n03098688   control room
n03099454   convent
n03101517   cookie cutter
n03101664   cookie jar
n03102371   cookstove
n03102654   cooler
n03104512   copperware
n03113152   cosmetic
n03113657   costume
n03116530   counter
n03118969   country house
n03119203   country store
n03120198   court
n03121298   courthouse
n03122202   covered couch
n03123553   coverlet
n03123917   cowbell
n03124043   cowboy boot
n03124590   cow pen
n03125870   craft
n03126385   crampon
n03128085   cravat
n03129471   creche
n03131967   cricket ball
n03132261   cricket equipment
n03132666   crinoline
n03134118   crook
n03134739   croquet ball
n03139640   crown lens
n03140652   cruise control
n03146777   culotte
n03146846   cultivator
n03148324   cupboard
n03148727   cupola
n03152303   customhouse
n03160309   dam
n03163973   data input device
n03164605   davenport
n03166514   deanery
n03170635   deep-freeze
n03170872   deerstalker
n03172038   deflector
n03173270   delft
n03174450   demijohn
n03175081   den
n03175189   denim
n03178430   derrick
n03186285   dhow
n03188531   diaper
n03196598   digital display
n03199775   dinette
n03199901   dinghy
n03203806   diplomatic building
n03206908   dish
n03207548   dishpan
n03208556   disk
n03209910   diskette
n03211789   display window
n03212114   disposal
n03213826   distributor point
n03218198   dogsled
n03219135   doll
n03219859   dolman
n03222516   doorbell
n03222722   doorframe
n03223162   doorlock
n03223686   doorsill
n03225777   dot matrix printer
n03228967   dovetail
n03233905   drawer
n03236093   dreadnought
n03236217   dredge
n03237639   dressing
n03237992   dressing gown
n03238762   dress rack
n03239607   drift net
n03245271   drogue
n03246197   drop arch
n03249342   drugstore
n03249569   drum
n03254046   duffel coat
n03254189   dugout
n03254374   dugout canoe
n03255030   dumbbell
n03256928   dungeon
n03257210   duplex house
n03257586   duplicator
n03259009   dustpan
n03260504   dynamo
n03261603   earmuff
n03262717   earthwork
n03267696   elastic
n03270165   electrical system
n03271260   electric clock
n03273913   electric refrigerator
n03282060   embankment
n03284308   empty
n03288886   English saddle
n03289985   ensemble
n03290096   ensign
n03294048   equipment
n03296217   escape wheel
n03302671   exercise bike
n03302790   exercise device
n03302938   exhaust
n03303217   exhaust fan
n03303831   exhibition hall
n03309356   eyepatch
n03309808   fabric
n03314884   face veil
n03316406   factory
n03316873   factory ship
n03320421   fan blade
n03320519   fancy dress
n03321103   fanjet
n03322836   farmhouse
n03323096   farmplace
n03325088   faucet
n03327553   fencing mask
n03334492   fife
n03334912   fifth wheel
n03336742   filature
n03337494   file server
n03338821   film
n03339643   filter
n03343560   fire
n03344509   firebox
n03344642   firebrick
n03348868   firing chamber
n03349296   firkin
n03349469   first-aid kit
n03351262   fishing boat
n03356446   flambeau
n03358172   flash
n03363363   flight simulator
n03365231   floatplane
n03365592   floor
n03366974   floor joist
n03367410   florist
n03370387   fluorescent lamp
n03372029   flute
n03373237   fly
n03373611   flying boat
n03374372   fly rod
n03375575   foil
n03378005   food court
n03379204   football stadium
n03380724   footstool
n03382533   fore edge
n03382856   foremast
n03386011   fortress
n03387653   foundry
n03389611   four-wheel drive
n03390786   fraise
n03393761   freewheel
n03394149   freight elevator
n03395401   French roof
n03395859   Fresnel lens
n03397947   Frisbee
n03400231   frying pan
n03401721   fuel system
n03404012   funny wagon
n03407369   fuse
n03408264   fusil
n03410423   gaffsail
n03411927   gallery
n03414676   gaming table
n03415252   gamp
n03415486   gangplank
n03416094   gantry
n03418402   garden trowel
n03418618   gargoyle
n03418915   garlic press
n03420801   garrison cap
n03420935   garrote
n03421117   garter
n03422072   gas burner
n03425769   gas ring
n03427202   gat
n03428090   gatehouse
n03429682   gauntlet
n03435743   georgette
n03442597   gnomon
n03443149   goalpost
n03445777   golf ball
n03447358   golliwog
n03448031   Gordian knot
n03448956   Gothic arch
n03450974   grab bag
n03455488   gravestone
n03456024   gravy boat
n03456447   greasepaint
n03456665   greatcoat
n03457008   great hall
n03457451   greave
n03457686   greengrocery
n03464467   guard
n03466162   guided missile
n03467068   guillotine
n03468821   gun case
n03469031   gun emplacement
n03471190   gusset
n03475674   haircloth
n03476083   hairpiece
n03476991   hair spray
n03478756   hall
n03481172   hammer
n03482252   hammock
n03483230   handbell
n03483823   hand calculator
n03483971   handcar
n03484576   handcuff
n03487774   hand mower
n03489162   hand tool
n03490006   hand towel
n03490119   hand truck
n03492087   hansom
n03494537   harmonium
n03494706   harness
n03495258   harp
n03496296   harpsichord
n03496612   harrow
n03498662   hatchback
n03504723   headquarters
n03505015   headrace
n03505383   headsail
n03506028   headstall
n03506560   hearing aid
n03509394   heat lamp
n03510384   heaume
n03513137   helmet
n03514894   henroost
n03518943   highlighter
n03521675   hipflask
n03522634   hitch
n03527149   hollowware
n03528100   home
n03528901   home plate
n03529175   home room
n03530910   hood
n03532342   hook
n03533392   hook and eye
n03534580   hoopskirt
n03536761   horn
n03538634   horse-drawn vehicle
n03539103   horseless carriage
n03540914   hospital bed
n03542333   hotel
n03542605   hotel-casino
n03542860   hotel room
n03543012   hot line
n03543394   hot rod
n03548533   hulk
n03549897   hurricane lamp
n03552749   hydrofoil
n03557360   ice hockey rink
n03557590   ice machine
n03558007   icepick
n03565830   in-basket
n03566555   inclinometer
n03578251   intercontinental ballistic missile
n03580615   internet
n03581125   intersection
n03584400   video iPod
n03584829   iron
n03585778   iron horse
n03591798   jacquard
n03593122   jampot
n03595860   jet
n03596099   jet bridge
n03599964   jobcentre
n03600475   jodhpur
n03601442   Joint Direct Attack Munition
n03601840   joist
n03602081   jolly boat
n03603722   jug
n03604400   jumper
n03606347   jury box
n03607659   Kalashnikov
n03610418   keg
n03612814   kettle
n03613294   key
n03616979   kid glove
n03621694   kite balloon
n03622526   klystron
n03623556   knife
n03625355   knit
n03628511   kremlin
n03631922   lacquerware
n03636248   lamp
n03637318   lampshade
n03638623   landing craft
n03640850   lanolin
n03644858   latch
n03649003   lavalava
n03649674   lawn chair
n03649797   lawn furniture
n03650551   layette
n03652932   leash
n03653583   lectern
n03655720   leisure wear
n03656484   lens
n03659292   lever
n03660909   library
n03662887   life jacket
n03663531   life preserver
n03666362   light-emitting diode
n03667235   lighting
n03668279   light pen
n03669534   limekiln
n03669886   limiter
n03670208   limousine
n03671914   linear accelerator
n03675235   Linotype
n03678558   litterbin
n03679384   living quarters
n03679712   living room
n03683606   locker
n03683708   locker room
n03684823   locomotive
n03686130   loft
n03686924   log cabin
n03688405   long sleeve
n03690938   lotion
n03691459   loudspeaker
n03693707   loving cup
n03696065   luggage compartment
n03697366   lunar excursion module
n03697913   lungi
n03698604   luxury liner
n03704549   magazine rack
n03714235   makeup
n03715386   mallet
n03718458   manor
n03718935   manse
n03719560   mantelet
n03719743   mantilla
n03723781   martello tower
n03724417   masher
n03726760   mast
n03727465   master bedroom
n03729402   matchbox
n03729826   matchstick
n03733131   maypole
n03739693   medical instrument
n03742019   medicine ball
n03744684   memory chip
n03745146   menagerie
n03746005   menorah
n03749807   mercury thermometer
n03750614   merlon
n03752398   metal wood
n03757604   metronome
n03766322   millinery
n03767966   mincer
n03770439   miniskirt
n03772077   minster
n03775071   mitten
n03775847   mizzenmast
n03777126   mod con
n03780799   moleskin
n03783873   monoplane
n03786621   Morris chair
n03789603   motley
n03790230   motorboat
n03792782   mountain bike
n03794136   mousse
n03795976   movie projector
n03796605   mudguard
n03799610   munition
n03801533   music hall
n03802973   mute
n03805180   nailbrush
n03809312   narrowbody aircraft
n03809686   narthex
n03812263   naval missile
n03813078   nave
n03814528   neckband
n03814817   neckerchief
n03815149   necklet
n03816005   neckwear
n03816136   needle
n03819336   nest
n03819595   net
n03822767   Newtonian telescope
n03823111   nib
n03825442   ninepin ball
n03825788   nipple
n03832144   nosewheel
n03832673   notebook
n03837869   obelisk
n03838298   objective
n03843438   oilcloth
n03844550   oil pump
n03844815   oilseed
n03844815   oilskin
n03845990   old school tie
n03846100   olive drab
n03847823   open-air market
n03849814   opera
n03850492   operating table
n03858085   ossuary
n03860234   outfitter
n03861271   outrigger
n03865557   overpass
n03865949   overshoe
n03866082   overskirt
n03868242   oxcart
n03870546   pack
n03871083   package
n03871724   packing box
n03873416   paddle
n03874138   paddle steamer
n03877845   palace
n03878294   palanquin
n03886762   paper clip
n03888022   parabolic reflector
n03891251   park bench
n03892425   parquetry
n03894677   parts bin
n03898633   patchwork
n03901974   pawnbroker's shop
n03902125   pay-phone
n03902482   peach orchard
n03904782   pedometer
n03906590   pelican crossing
n03906997   pen
n03907475   penal colony
n03907654   penal institution
n03908714   pencil sharpener
n03911767   penlight
n03912218   pennywhistle
n03912821   penthouse
n03915900   perforation
n03919096   personnel carrier
n03923564   Phillips screw
n03928116   piano
n03928994   piano wire
n03929091   piccolo
n03930313   picket fence
n03931885   picture hat
n03931980   picture rail
n03934565   pier table
n03937543   pill bottle
n03938401   pillow block
n03939844   pilot light
n03940256   pin
n03942920   pinhead
n03943714   pinstripe
n03944138   pinwheel
n03945928   pipe cleaner
n03948830   pistol grip
n03949761   pit
n03950537   pitching wedge
n03958752   plastic wrap
n03964611   playsuit
n03972372   poacher
n03973402   pocket flap
n03978966   polo shirt
n03983396   pop bottle
n03983712   popper
n03986562   porthole
n03986857   portiere
n03987266   portrait camera
n03989665   posthole digger
n03989898   posthouse
n03991646   potentiometer
n03993053   potty seat
n03995265   power cord
n03999160   presbytery
n04000998   press of sail
n04001132   pressure cabin
n04001845   pressure suit
n04005197   priory
n04006067   privateer
n04008385   production line
n04009552   projector
n04013729   prosthesis
n04019101   public transport
n04019541   puck
n04021028   pullover
n04023249   punch
n04025508   pup tent
n04026053   purifier
n04026180   purl
n04027023   push button
n04028315   puzzle
n04028581   pylon
n04035912   quoin
n04037220   rabbit hutch
n04040247   radial
n04041544   radio
n04041747   radio antenna
n04042985   radiometer
n04043411   radio-phonograph
n04043733   radio receiver
n04044498   radiotelephone
n04045397   raft
n04047834   railroad bed
n04048441   railroad tunnel
n04050313   rake handle
n04055861   ratline
n04059157   ready-to-wear
n04060448   rebozo
n04064747   record sleeve
n04067818   refectory table
n04068441   refinery
n04071263   regalia
n04071393   regimentals
n04072551   rein
n04074963   remote control
n04075916   repair shop
n04079106   reset button
n04082710   retaining wall
n04087432   riband
n04089976   riding mower
n04090263   rifle
n04093775   riot gun
n04097866   robe
n04100519   rodeo
n04101375   roll
n04102037   in-line skate
n04102162   Rollerblade
n04102406   roller coaster
n04102618   roller skate
n04104925   rood screen
n04105704   roofing
n04110654   rotary engine
n04111414   rotisserie
n04114069   roundel
n04114719   router
n04116098   rubber band
n04116294   rubber boot
n04117216   rudder
n04118635   ruin
n04119230   rumble seat
n04122262   sable
n04122685   sachet
n04123448   sack coat
n04124202   saddle blanket
n04125257   safe-deposit
n04125541   safe house
n04126980   safety match
n04127117   safety net
n04127249   safety pin
n04127904   sail
n04129688   sailor cap
n04131015   salon
n04131690   saltshaker
n04136510   sash
n04136800   sash fastener
n04138131   satellite transmitter
n04139395   sauna
n04142327   scaling ladder
n04146614   school bus
n04148579   sconce
n04149083   scoop
n04156946   scull
n04157099   scullery
